Epoch,No_Aug_Acc,No_Aug_Loss,Basic_Aug_Acc,Basic_Aug_Loss,MixUp_Acc,MixUp_Loss,CutMix_Acc,CutMix_Loss
1,38.77883943136798,2.092140449367179,45.02446982055465,2.197056181511495,42.146352831507805,3.674646537290809,43.6494989512934,3.580251878729501
2,46.38778839431368,1.3697292236193634,51.15357725471918,1.579078650887876,47.97250058261478,3.215932499907338,49.05616406432067,3.1640620864735265
3,49.813563271964576,0.9591527326163858,56.16406432067117,1.3109728589139793,50.47774411559077,3.0184331163999976,49.20764390584945,2.979759763769158
4,53.02959683057562,0.6653793992092458,57.17781402936379,1.1053128622634985,44.58168259147052,2.837303383307847,60.65019808902354,2.8460178275886507
5,59.91610347238406,0.431777139190118,62.36308552784899,0.9144667402309744,57.42251223491028,2.7511143554029998,58.66930785364717,2.7363498502223567
6,60.84828711256117,0.2173698800795275,63.2137030995106,0.775405243299945,59.77627592635749,2.6533925425988434,60.40549988347704,2.5993115274801637
7,68.86506641808437,0.0896810538573729,61.12794220461431,0.6147617930113266,63.155441621999536,2.543161031424473,64.93824283383826,2.5159225536199545
8,72.02283849918435,0.03823195946634,67.37357259380097,0.448240334420507,61.09298531810767,2.4844129560072834,63.539967373572594,2.428116879317736
9,73.03658820787695,0.0166028813491736,66.09182008855744,0.3380543093797385,66.12677697506409,2.407967455010749,68.91167560009322,2.337077905782403
10,74.39990678163598,0.0094771895839103,70.96247960848287,0.2400307269255545,68.69028198555115,2.295899516563651,71.30039617804708,2.251702579622925
11,74.51642973665813,0.0069616444213748,72.02283849918435,0.1659640077539415,71.09065485900723,2.2276732844498817,74.08529480307621,2.147699817535698
12,74.72617105569798,0.0058010647256268,74.66790957818691,0.1112424442043134,71.2304824050338,2.169041830612274,75.35539501281752,2.066698201001933
13,75.08739221626661,0.0053603435154497,75.00582614775111,0.0788687874258289,73.85224889303193,2.099214602836193,75.90305290142157,1.9903138606304684
14,74.85434630622233,0.0051435115331481,75.32043812631089,0.0593395480551701,75.65835469587509,2.036264201783601,77.53437427173154,1.9223771339695657
15,74.76112794220461,0.0043140443292332,76.01957585644372,0.0445747560231382,76.11279422046142,1.9939853422918763,78.72290841295735,1.8381123998638471
16,74.93591237473782,0.0043842556932094,76.2642740619902,0.036200405522165,77.04497786063854,1.969835541808301,78.431601025402,1.8095872223148703
17,74.98252155674668,0.0039650419837425,76.45071079002564,0.032259047598983,77.5926357492426,1.929707705428112,79.00256350501049,1.7620057754267016
18,75.11069680727103,0.0042279914764267,76.47401538103006,0.0291253926835123,78.08203216033559,1.9071486331677712,79.79491959916103,1.746252098387928
19,74.69121416919133,0.0040228707285603,76.4274061990212,0.0289577871628116,78.22185970636215,1.8775221774490265,79.81822419016547,1.717248461389168
20,75.01747844325332,0.0040595804075355,76.63714751806106,0.0289962622572241,78.46655791190865,1.8872740843789264,79.96970403169425,1.692737800674769
