Epoch,CutMix_Acc,CutMix_Loss
1,43.6494989512934,3.580251878729501
2,49.05616406432067,3.1640620864735265
3,49.20764390584945,2.979759763769158
4,60.65019808902354,2.8460178275886507
5,58.66930785364717,2.7363498502223567
6,60.40549988347704,2.5993115274801633
7,64.93824283383826,2.5159225536199545
8,63.539967373572594,2.428116879317736
9,68.91167560009322,2.337077905782403
10,71.30039617804708,2.251702579622925
11,74.08529480307621,2.147699817535698
12,75.35539501281752,2.0666982010019326
13,75.90305290142157,1.9903138606304684
14,77.53437427173154,1.9223771339695659
15,78.72290841295735,1.8381123998638471
16,78.431601025402,1.8095872223148706
17,79.00256350501049,1.7620057754267016
18,79.79491959916103,1.746252098387928
19,79.81822419016547,1.717248461389168
20,79.96970403169425,1.692737800674769
