Epoch,No_Aug_Acc,No_Aug_Loss
1,38.77883943136798,2.092140449367179
2,46.38778839431368,1.3697292236193634
3,49.813563271964576,0.9591527326163858
4,53.02959683057562,0.6653793992092458
5,59.91610347238406,0.43177713919011806
6,60.848287112561174,0.21736988007952757
7,68.86506641808437,0.08968105385737293
8,72.02283849918435,0.038231959466340094
9,73.03658820787695,0.01660288134917361
10,74.39990678163598,0.009477189583910353
11,74.51642973665813,0.006961644421374898
12,74.72617105569798,0.005801064725626824
13,75.08739221626661,0.005360343515449754
14,74.85434630622233,0.005143511533148178
15,74.76112794220461,0.004314044329233295
16,74.93591237473782,0.004384255693209499
17,74.98252155674668,0.003965041983742556
18,75.11069680727103,0.004227991476426794
19,74.69121416919133,0.004022870728560382
20,75.01747844325332,0.004059580407535574
